CLOTHING LEAF CATEGORIES (For Review Mining)
============================================================
Total: 2195 categories

   Count  Category
     828  Bloomers, Diaper Covers & Underwear
     823  Tie Pins
     816  Aprons
     814  Bridal Veils
     813  Karate
     801  Softball & Baseball
     799  Wind & Rain
     784  Swim Diapers
     778  Hosiery
     764  Cleaning & Care
     760  Luggage Scales
     747  Kids' Clothing
     746  Unisex Baby Clothing
     746  Shoe Brushes
     745  Active Dresses
     728  Sunglasses & Eyewear
     723  Athletic Supporters
     713  Bib Shorts
     709  Retainers
     709  Hats
     699  Bibs
     697  Gym Totes
     693  Active Vests
     687  Anniversary Rings
     686  Luggage Locks
     672  Ice Skating
     666  Thigh Slimmers
     664  Bra Extenders
     664  Knits & Tees
     662  Ice Hockey
     657  Military & Tactical
     647  Facial Hair
     646  Bolo Ties
     635  Skirts, Skooters & Skorts
     623  Garters & Garter Belts
     616  Kids' Luggage
     612  Straps
     610  Bodystockings
     600  Earring Jackets
     598  Kids Shoes
     588  Eyewear
     587  Girls Apparel
     578  Softball
     572  Boxing
     561  Pads & Enhancers
     545  Tuxedo Shirts
     531  Dental Grills
     530  Men's Swimwear
     526  Sport Watches
     522  Pajama Bottoms
     518  Belly Bands
     513  Jackets and Coats
     510  Leg Warmers & Hosiery
     505  Motorcycle & ATV Casual Footwear
     494  Girls' Swimwear
     491  Sunsuits
     481  Cover-Ups & Wraps
     475  Rugby
     472  Oxfords & Loafers
     432  Smartwatches
     432  Baby Dolls, Chemises & Negligees
     432  Bloomers
     415  Tops & Corsets
     408  Undershirts, Tanks & Camisoles
     407  Garter Belts
     396  Chef Pants
     389  Made in USA
     384  Uniform Dress Shoes
     377  Civil Service
     372  Skorts
     368  Diamonds
     366  Christening
     345  Girls Sandals & Pumps
     340  Kids
     340  Skirts, Scooters & Skorts
     331  Pocket Watch Chains
     329  Feather Boas
     328  Snow Pants & Bibs
     327  Apparel and accessories Made in Italy
     323  Button-Down & Dress Shirts
     321  Oxford & Loafer
     320  Ring Enhancers
     302  Street, Surf & Skate
     297  Costume Makeup
     295  Pleated
     295  Blouses
     292  ID Cases
     288  Cross-Body Sling Bags
     287  Women's Shoes
     285  Shirt Studs
     284  Undershorts
     281  Control Slips
     280  Girls Boots, Clogs & Mules
     279  Kung Fu
     277  Suit Pants
     266  Collar Stays
     263  Shoe Dryers
     261  Girls Athletic & Oxfords
     260  Dresses & Jumpers
     260  Trunks & Shorts
     258  Boys Sneakers (fs, no puma)
     255  Kids Tops & Tees
     246  Field Hockey & Lacrosse
     245  Wallets & Money Organizers
     244  Baby Girls' Swimwear
     239  Tights & Hosiery
     234  Boys' Swimwear
     233  Fashion Watches
     232  Bib Pants
     226  Rain Hats
     223  Cover-Up Sets
     220  Girls Flats & Loafers
     217  Kids Activewear
     213  Petite
     212  Chemises
     209  Sleepwear & Robes Sets
     206  Boys Activewear
     201  Garters
     190  Nightshirts
     188  Girls Tops & Tees 1
     188  Jewelry Chests
     188  Backpacks, Bags, & Luggage
     187  Rain Boots
     185  Training Pants
     184  Kids Swimwear
     180  Water & Stain Treatments
     180  Kids' Watches
     177  Restaurant Store
     177  Food Service Uniforms
     176  Baby Dolls
     172  Motorcycle & ATV Casual Wear
     170  Kids Sleepwear & Robes
     170  Total Sleepwear & Robes
     168  Boys Active
     167  Special Occasion Gloves
     166  Apparel and Accessories
     157  Plain Silver Jewelry
     148  Sweatsuits
     145  Men's fashion Made in Italy
     143  Shoe Cleaners
     143  Baby Boys' Swimwear
     140  Fire & Safety Boots
     140  Ballet
     136  Fire & Safety
     135  Onesies
     135  Comfort Shoes
     134  Compression Arm Sleeves
     132  Girls Sneakers (fs, no puma)
     132  Women's fashion Made in Italy
     130  Girls Swimwear 2
     127  Food Service Apparel
     125  Women's Festive Wear
     123  Toddler Size 7
     122  Big Kid Size 7
     121  Cravats
     121  Luggage Carts
     120  Bulk Buying & Case Packs
     120  Pendant Enhancers
     117  Girls Activewear
     116  Kids Jackets and Coats
     116  Pearl Jewelry
     113  Union Suits
     108  Tangas
     108  Taekwondo
     108  Swim Pants
     105  Bags Made in Italy
     103  Lingerie Tape
      98  Dyes
      98  Girls Tops & Tees
      97  Walking Sticks & Canes
      94  Toddler Size 6
      93  Diamond Jewelry Store
      93  Girls Sneakers (no fs)
      93  Toddler Size 8
      91  Bags, Wallets & Accessories
      90  Mountaineering Boots
      88  Luggage Handle Wraps
      86  Compression Tops
      86  Children's Jewelry Boxes
      83  Capris
      77  Jewelry Gifts
      77  Amazon Business Uniform Store
      76  Knee-High Socks
      76  Shoe Measuring Devices
      75  Boys Sneakers
      74  Headwraps
      74  Boys Boots, Clogs & Mules
      73  Pocket Squares
      71  Mastectomy Bras
      68  Monokinis
      68  Wands
      66  HG Frequent Plus 4+ Stars
      65  Boys Sneakers (no fs)
      64  Boys Jackets and Coats
      63  Oprah's Favorite Things|Burt's Bees Baby
      61  Boys' Character Shop
      61  Adult Apparel
      60  First Communion Veils
      60  Ring Sizers
      59  Breast Lift Tape
      59  Toddler Size 5
      57  Girls Sleepwear & Robes
      56  Amazon Private and Exclusive Brands
      55  Baby Clothing & More
      54  Next-Gen Trends
      53  Cummerbunds
      53  Girls Jackets & Coats
      52  Girls Jackets and Coats
      52  Cricket
      52  Sensational Steals
      50  Handball
      50  Boys Tops & Tees
      49  Timex
      49  Girls Active
      48  Boys Swimwear 3
      48  Kids Apparel
      48  Clothing Coinstar Exclusive
      47  Compression Leg Sleeves
      47  Pajama Tops
      45  Food Service Shoes
      45  Girls Slippers & Outdoors
      45  Hand Fans
      44  Accessories Made in Italy
      44  Electric Shoe Polishers
      43  Fashion from Small Businesses
      43  Camisoles
      43  Boys Sleepwear & Robes
      42  Kids' Spring Guide 2012
      41  Plain Gold Jewelry
      41  Judo
      40  All-Gender Kids
      39  Girls Dresses
      39  Nine West HQP
      38  Bib Tights & Pants
      38  Womens Shein Only
      38  M Next-Gen Apparel
      37  Women's customer-loved styles
      36  Softshell Jackets
      35  4+ Stars: Clothes, Shoes and Jewelry
      35  Boys Oxfords & Sandals
      35  G-Strings, Thongs & Tangas
      34  Lucky Brand Men's Jeans
      33  Multifunctional Headwear
      33  Kids Jeans
      32  Unitards
      31  Men's Watch Accessories
      31  Girls Leggings
      30  DO NOT USE
      30  Kendo
      29  Briefs & Shorts
      29  Boys Tops & Tees 2
      29  4+ Star Dresses
      29  Cozy PJs for the Family
      28  Character Clothing
      28  Boys Pants
      27  Womens Next-Gen Trends
      27  Prom
      27  Boys Apparel
      27  Pajamas, Loungewear & More
      27  Kids Fall New Arrivals
      27  Men's Next-Gen Trends
      26  Smart Jewelry
      26  Women's Plus-Size Fashion
      26  Styles for Spring Break
      26  Juniors
      26  Cut-Out Dresses
      25  XS-3X
      25  Top Daring Lingerie
      25  Kneeskins
      24  Night Out & Cocktail
      24  Kids' Shoes Markdown
      24  Cozy Slippers for All
      24  Sleepwear & Robes for Mom
      24  Women's Romantic Loungewear
      24  Festive Fashion Jewelry
      24  Sterling Silver Jewelry
      23  Womens Shein + More
      23  Shop Anne Klein
      23  Fun World Costumes
      22  Patterned Shirts: Floral
      22  T-Shirts & Tanks
      22  Polka-dot dresses
      22  Folding Fans
      22  Old Glory Exclusives
      22  Mens Plus Size Fashion
      21  Girls Pants
      21  Uniforms
      21  Organic Baby Clothing
      21  Boys Loafers and Outdoor
      21  California Costumes
      21  Style Crush
      21  Boys Slippers
      21  Untuckit
      20  Women's Costumes - Decades & Period Costumes
      20  Heidi Klum's Boo-tique | Adult Costumes
      20  Festive Jewelry
      20  Kids Sweaters
      20  Total Sweaters
      20  Back-to-School Backpacks
      20  Prom Styles We Love
      20  Disney/Pixar Costumes
      19  Fine Jewelry for Women
      19  Rolling Luggage
      19  Kickboxing
      19  Classic Halloween Costumes
      19  Gray dresses
      18  Girls Jeans
      18  Fleece Jackets
      18  Men's Costumes - Classic Costumes
      18  Girls Tops & Tees 2.2
      18  Fashion Jewellery
      18  Women's Fall Boots
      18  Womens Summer Styles
      18  Women's Fall Dresses
      17  REDO W GENZ SHOES
      17  Rhinestones earrings
      17  Prom- Dresses
      17  Women's leopard print dresses
      17  Paddle Fans
      17  Women's Costumes - Classic Costumes
      16  Get It Fast: Cold-Weather Gear for the Family
      16  Down Jackets
      16  Petticoats
      16  Pearl bracelets
      16  Star Wars Costumes
      16  Romantic dresses
      16  Commuter Pass Cases
      15  Womens GenZ Accessories
      15  Girls Sweaters
      15  Better Swimwear
      15  Ugly Holiday Sweaters (and More) for the Family
      15  Waterproof Jackets
      15  Boys Jeans
      15  The Super-Cute Baby
      15  Collectible Watches
      15  Mens Next-Gen Accessories
      14  Plus Size Fashion
      14  Precious Jewelry
      14  Geek Attire
      14  Lacrosse
      14  Women's tangerine dresses
      14  Citizen
      14  Colorful Flip-Flops
      14  School Styles
      14  Pearl earrings
      13  Fall-Ready Shirtdresses
      13  REDO W GENZ ACCESS
      13  MLG Jewelry
      13  Kids_Apparel
      13  Underwear and swimwear Made in Italy
      13  Certified Pre-Owned
      13  Ripple Junction T-Shirts
      13  Women's plaid dresses
      13  Dresses- Checks
      13  Bundle-Up Coats for Baby
      13  Girls' Character Shop
      12  A Curvy Shape
      12  Premium Tops
      12  Womens Shein + Add'l Brands
      12  Cobalt dresses
      12  Apparel
      12  Star Wars Clothing & Costumes
      12  Decade & Period Costumes
      12  Women's Costumes - Animal Costumes
      12  Cycling Bottoms
      12  Shein Brands + More
      12  Cartoon & Movie Costumes
      12  Lee Lowest Prices Of The Season
      12  St. Patrick's Day Styles for All
      12  Mens Next-Gen Shoes
      11  Video Game T-Shirts
      11  Kids Apparel Same-Day Delivery From COOKIESKIDS
      11  XCat Search Experiment
      11  Receiving Blankets
      11  Big Kid Size 8
      11  Oprah's Favorite Things | Peepers Glasses
      11  Baby Girls Shoes
      11  Pearl Jewelry for Fall
      11  Pretty Winter Floral Prints
      11  Mood-Boosting Prints for Her
      11  Men's Costumes - TV & Movie Characters
      11  Bold Stone Jewelry
      11  Update Your Athleisure: Jogger Pants
      11  Denim Updates: Frayed Hem
      11  Easy Dresses
      11  Women's tie-dye tops
      10  Boys Shoes
      10  Rain Pants
      10  Oprah's Favorite Things | Burt's Bee Baby
      10  Humorous T-Shirts
      10  Women's Jewelry
      10  Bold Gold Jewelry for Fall
      10  Women's floral tops
      10  Swimwear for everyone
      10  Baby Character Shop
      10  Cultural Wear for Women
      10  Closet Favorites: Shorts
      10  Hoop earrings
      10  Women's Costumes - TV & Movie Characters
      10  Rubies Costumes
      10  Women's maxi skirts
      10  Women's plaid tops
      10  Hadley-Roma
      10  Zodiac Jewelry
      10  Dance Shoes
      10  Men's Athletic Shoes
      10  Tie-dye dresses
      10  Feminine Spring Blouses
      10  Fashion with Pride
       9  Women's Costumes - Superheroes
       9  Ski Suits
       9  All Adult Accessories v1
       9  Watches, Jewelry & More for Dad
       9  Men's Fall Shoes: Lace-Up Boots
       9  Men's Summer Stock-Up: Light-Wash Jeans
       9  Kids Fashion
       9  Jewelry Made in Italy
       9  Easy Summer Slip Dresses
       9  Women's Active Clothing, Shoes and More
       9  Men's Summer Styles
       9  Men's customer-loved styles
       9  Amazon Student Week
       9  Women’s shirt, dress and more from Zeagoo and HOTOUCH
       9  Band T-Shirts
       9  The Cool Kid
       9  Silver earring sets
       9  Holiday Dress-Up: One-Pieces
       9  Jewelry by Indian Sellers
       9  Women's Matching Sets
       9  Ready to Move in Reebok
       9  Graphic Apparel
       9  Pearl necklaces
       9  Silver earrings
       9  Marvel Clothing Store
       9  Not-Your-Mother's Cableknit
       8  Character Shop
       8  Fun Face Masks for All
       8  Beanies
       8  Titan Watches
       8  Lilac dresses
       8  Essential Luggage Sets
       8  Adult Unisex Tops v1
       8  The Super-Cute Baby: Boys' Clothing
       8  College Essentials for Her
       8  Animal-Print Styles
       8  Y2K
       8  Dresses for Women, Girls & Baby Girls
       8  Suited Up - Women's
       8  Summer-Fun Style for Her: Tops
       8  Women's Leather Watches for Spring
       8  Orient
       8  Luminox
       8  Rhinestones bracelets
       8  Sparkly Flats
       8  Effortless Day Dresses
       8  Disney T-Shirt Shop
       8  Men's
       8  Aqua dresses
       8  Silky Scrunchies
       8  Women's Cozy Loungewear: Sets
       8  Cozy Styles for Her: Sleepwear & Robes
       7  All-Gender Fashion
       7  Tournament Jackets
       7  A New Take on Layering
       7  Get Cozy at Home: Warm, Comfy Layers
       7  Playground Chic
       7  Chunky Chain-Link Jewelry
       7  Perfect Petite Studs
       7  Camera-Ready Styles
       7  At-Home Essentials: Sweatpants
       7  The Women's Spring Trend Edit: Frill Seekers
       7  Boys Sweaters
       7  Men’s Work-to-Weekend Boots
       7  Womens Ethnic Wear
       7  Plaid work dresses
       7  Wedding Guest Dresses
       7  Saturday 11/27 error
       7  Men's Fall Shoes: Sneakers
       7  A Slight Tummy
       7  Funny Costumes
       7  Satin PJ Sets
       7  Women's leopard print tops
       7  The Women's Sweater Edit: Turtleneck
       7  10 Classic Pieces: Dark Denim
       7  Casual Leather Women's Watches
       7  Girls Sandals
       7  Star Wars T-Shirts
       7  New Year, New Gear: Workout Wear for All Ages
       7  Men's Fall Shoes: Oxfords
       7  Graphic Tee Shop
       7  Gold Chains
       7  The newness for Spring
       7  Swimwear for the Family: Men
       7  Women's Wool Coats
       7  Everyday Value Brands
       7  Date Night Looks for Him
       7  The Women's Fall Outerwear Edit: Shackets
       6  Men's Retro Cardigans for Fall
       6  Weather Aware CX - Heat - SL
       6  Goalie Shorts
       6  PRZ and PAWS - Women
       6  Festive Wear for Women
       6  Pajamas for All
       6  Animal Costumes
       6  Superheroes
       6  Women's Activewear: Bottoms
       6  Liberty Footwear Collection
       6  Everyday Watches
       6  Date Night Looks for Her
       6  Festive Holiday Sweaters for All
       6  Family Getaway Styles
       6  Women's Luxury Watches
       6  Go-to fall styles: Accessories
       6  All Classic Jewelry
       6  The More The Merrier - Slippers
       6  Form-Fitting Dresses
       6  Premier Fashion Jewelry
       6  Comfort Goals
       6  Must-Have Bracelet Watches
       6  Easy Summer Shirt Dresses
       6  Fast-Track Your Fall Wardrobe: Shirtdresses
       6  Women's Active: Our Brands
       6  Bold Activewear
       6  Women's Oversized Blazers for Fall
       6  Date-Night Looks for Her
       6  Women's Layering Knits for Fall
       6  Sunglasses for Spring Break
       6  Michael Kors Access Wearables
       6  Romantic Florals
       6  Men’s 9-to-5 Essentials: Blazers & Jackets
       6  Nostalgic Styles
       6  Color Trend: Living Coral
       6  Women's one shoulder tops
       6  Women's Outdoor Styles
       5  Womens GenZ Shoes
       5  Men's Activewear: Tops
       5  White Elephant Gifts
       5  Summer Dresses from Amazon Fashion
       5  Silver bracelets
       5  Michele Watches
       5  Father’s Day Gifts: Wallets & Card Cases
       5  Tag & Handle Wrap Sets
       5  Cottagecore
       5  High-Waisted Pants
       5  Boys & Girls Layette Sets
       5  Casual Styles for All
       5  Silver necklaces
       5  Women's Costumes - Accessories & Wigs
       5  The Super-Cute Baby: Shoes & Accessories
       5  Coveted Classics
       5  Gray work dresses
       5  Ready for Fun
       5  Paper Magic Group
       5  Women's Coatagins for Fall
       5  Build Your Wardrobe: Cardigans for Him
       5  Women's Classic Coats: Trench
       5  Stripes
       5  3-in-1 Jackets
       5  Birthstone Jewelry Gifts
       5  Holiday-Ready Dresses
       5  Women's Polished Accessories: Blue-Light Glasses
       5  Men's Work Boots
       5  Baby Costumes - Animal Costumes
       5  Rubie's Batman vs. Superman
       5  Leg Avenue Hosiery
       5  Leggings & Leg Warmers
       5  Women's Cozy Nap Dresses
       5  Ethnic Apparels
       5  Mickey & Friends
       5  Plus Picks: Light-Wash Denim
       5  CML Women's ILM
       5  Netball
       5  Kids' Light-Up Shoes
       5  Graphics Tee Shop: All
       5  Roxy Clothing & Accessories
       5  Bubblegum Pink
